
882 Emerald Battle Frontier Pokémon Movesets


0, SUNKERN, LAX INCENSE, RELAXED, MEGA DRAIN, HELPING HAND, SUNNY DAY, LIGHT SCREEN, 255-0-0-0-255-0
1, AZURILL, CHERI BERRY, RASH, WATER PULSE, ATTRACT, SING, CHARM, 255-0-0-0-255-0
2, CATERPIE, FOCUS BAND, QUIRKY, TACKLE, STRING SHOT, 255-255-0-0-0-0
3, WEEDLE, FOCUS BAND, QUIRKY, POISON STING, STRING SHOT 255-255-0-0-0-0
4, WURMPLE, LAX INCENSE, QUIRKY, TACKLE, STRING SHOT, POISON STING, 255-255-0-0-0-0
5, RALTS, TWISTEDSPOON, DOCILE, CONFUSION, IMPRISON, DOUBLE TEAM, LIGHT SCREEN, 255-0-0-0-255-0
6, MAGIKARP, FOCUS BAND, HARDY, FLAIL, 255-255-0-0-0-0
7, FEEBAS, FOCUS BAND, LONELY, FLAIL, MIRROR COAT, 255-255-0-0-0-0
8, METAPOD, LAX INCENSE, BASHFUL, HARDEN, 255-0-0-0-0-255
9, KAKUNA, LAX INCENSE, BASHFUL, HARDEN, 255-0-0-0-0-255
10, PICHU, SITRUS BERRY, RASH, SWEET KISS, THUNDER WAVE, ATTRACT, SHOCK WAVE, 255-0-0-0-255-0
11, SILCOONLAX INCENSEBASHFULHARDEN2550000255
12, CASCOONLAX INCENSEBASHFULHARDEN2550000255
13, IGGLYBUFFFOCUS BANDDOCILESWEET KISS, SING, ATTRACT, SEISMIC TOSS2552550000
40, LEDYBASITRUS BERRYBASHFULPSYBEAM, AGILITY, BATON PASS, LIGHT SCREEN2550002550
41, NINCADAPECHA BERRYCALMMUD-SLAP, DIG, TOXIC, PROTECT2552550000
42, SURSKITMYSTIC WATERRELAXEDBUBBLEBEAM, RAIN DANCE, SWEET SCENT, QUICK ATTACK2550002550
43, JIGGLYPUFFLAX INCENSERELAXEDSING, WISH, MIMIC, DOUBLESLAP170017000170
44, TAILLOWSALAC BERRYGENTLEFLY, QUICK ATTACK, ENDEAVOR, FOCUS ENERGY170170017000
45, WINGULLPERSIM BERRYHARDYWATER PULSE, FLY, QUICK ATTACK, STEEL WING2550002550
46, NIDORANmASITRUS BERRYQUIRKYDOUBLE KICK, POISON STING, DISABLE, HELPING HAND2552550000
47, NIDORANfESITRUS BERRYQUIRKYCRUNCH, DOUBLE KICK, FLATTER, HELPING HAND2552550000
48, KIRLIAWHITE HERBDOCILECONFUSION, WILL-O-WISP, FUTURE SIGHT, LIGHT SCREEN2550025500
49, MAREEPCHERI BERRYRELAXEDSHOCK WAVE, FLASH, REFLECT, COTTON SPORE2550002550
50, MEDITITEMENTAL HERBNAUGHTYHI JUMP KICK, MEDITATE, SWAGGER, PSYCH UP2552550000
51, SLAKOTHLEFTOVERSQUIRKYYAWN, SCRATCH, ENCORE, COUNTER2552550000
52, PARASSITRUS BERRYRELAXEDSPORE, LEECH LIFE, SLASH, LIGHT SCREEN2550002550
53, EKANSPOISON BARBDOCILEACID, DIG, SCREECH, TORMENT2552550000
54, DITTOMETAL POWDERHARDYTRANSFORM2550025500
55, BARBOACHFOCUS BANDBASHFULMAGNITUDE, WATER PULSE, SPARK, FUTURE SIGHT0255002550
56, MEOWTHPERSIM BERRYQUIRKYSLASH, BITE, SCREECH, FAKE OUT2552550000
57, PINECOFOCUS BANDQUIRKYSELFDESTRUCT, TAKE DOWN, REFLECT, LIGHT SCREEN2552550000
58, TRAPINCHLAX INCENSESERIOUSTOXIC, DIG, SANDSTORM, SAND-ATTACK2552550000
59, SPHEALNEVERMELTICEDOCILEICE BALL, WATER PULSE, HAIL, MUD-SLAP2550002550
60, HORSEAPETAYA BERRYRELAXEDWATER GUN, AGILITY, ICY WIND, TWISTER2550002550
61, SHROOMISHMIRACLE SEEDRELAXEDSPORE, BULLET SEED, LEECH SEED, HEADBUTT2550002550
62, SHUPPETRAWST BERRYRASHWILL-O-WISP, NIGHT SHADE, GRUDGE, KNOCK OFF2552550000
63, DUSKULLPERSIM BERRYQUIRKYSKILL SWAP, NIGHT SHADE, DISABLE, CONFUSE RAY2550025500
64, ELECTRIKECHERI BERRYDOCILESPARK, THUNDER WAVE, ROAR, QUICK ATTACK2550025500
65, VULPIXRAWST BERRYDOCILEWILL-O-WISP, CONFUSE RAY, FIRE SPIN, QUICK ATTACK2550025500
66, PIKACHULIGHT BALLDOCILETHUNDERPUNCH, THUNDER WAVE, DOUBLE TEAM, QUICK ATTACK2550025500
67, SANDSHREWSOFT SANDDOCILEDIG, ROCK TOMB, SANDSTORM, SAND-ATTACK2552550000
68, POLIWAGMYSTIC WATERRELAXEDHYPNOSIS, ICY WIND, WATER GUN, RAIN DANCE2550025500
69, BELLSPROUTSITRUS BERRYLAXRAZOR LEAF, ACID, STUN SPORE, WRAP170017000170
70, GEODUDEFOCUS BANDBRAVEMAGNITUDE, ROCK BLAST, STRENGTH, PROTECT2552550000
71, DRATINIPERSIM BERRYDOCILEOUTRAGE, THUNDER WAVE, SUPERSONIC, WATER PULSE2550002550
72, SNUBBULLSCOPE LENSRELAXEDBITE, CHARM, SWAGGER, SCARY FACE2552550000
73, REMORAIDPETAYA BERRYQUIRKYBUBBLEBEAM, AURORA BEAM, PSYBEAM, PROTECT0002552550
74, LARVITARPERSIM BERRYNAUGHTYTHRASH, ROCK SLIDE, DIG, DRAGON DANCE2552550000
75, BALTOYPERSIM BERRYNAUGHTYPSYBEAM, ANCIENTPOWER, LIGHT SCREEN, MUD-SLAP0255002550
76, SNORUNTPERSIM BERRYBRAVEICY WIND, HEADBUTT, LEER, BITE2552550000
77, BAGONLIECHI BERRYNAUGHTYDRAGONBREATH, HEADBUTT, BRICK BREAK, SCARY FACE2552550000
78, BELDUMCHOICE BANDHARDYTAKE DOWN2552550000
79, GULPINLAX INCENSESERIOUSTOXIC, YAWN, PAIN SPLIT, ATTRACT170017000170
80, VENONATSITRUS BERRYRELAXEDPSYBEAM, SUPERSONIC, STUN SPORE, SKILL SWAP2550002550
81, MANKEYBLACK BELTNAUGHTYKARATE CHOP, LOW KICK, SCREECH, SWAGGER2552550000
82, MACHOPSCOPE LENSADAMANTSEISMIC TOSS, REVENGE, ROCK TOMB, SCARY FACE2552550000
83, SHELLDERCHERI BERRYRELAXEDICICLE SPEAR, SUPERSONIC, CLAMP, WITHDRAW2550002550
84, SMOOCHUMBRIGHTPOWDERDOCILESWEE T KISS, SING, MUD-SLAP, FAKE OUT2552550000
85, NUMELLAX INCENSEHARDYEMBER, MAGNITUDE, ROCK TOMB, SANDSTORM2552550000
86, CARVANHASHELL BELLQUIETBITE, SCREECH, SCARY FACE, SWAGGER2550002550
87, CORPHISHMYSTIC WATERBRAVECRABHAMMER, WATER PULSE, MUD-SLAP, PROTECT2550002550
88, CHARMANDERFOCUS BANDDOCILEFIRE SPIN, METAL CLAW, SMOKESCREEN, SCARY FACE2550002550
89, CYNDAQUILSITRUS BERRYDOCILEEMBER, SWIFT, QUICK ATTACK, SMOKESCREEN2550002550
90, ABRATWISTEDSPOONLONELYMIMIC , METRONOME, FLASH, SEISMIC TOSS2550025500
91, DODUOLIECHI BERRYLONELYFURY ATTACK, UPROAR, MUD-SLAP, FAINT ATTACK2550025500
92, GASTLYLAX INCENSELONELYDREAM EATER, HYPNOSIS, NIGHT SHADE, CONFUSE RAY2550025500
93, SWABLUMENTAL HERBLONELYTAKE DOWN, DREAM EATER, SING, ATTRACT2550002550
94, TREECKOSCOPE LENSLONELYBULLET SEED, AERIAL ACE, QUICK ATTACK, DOUBLE TEAM0255002550
95, TORCHICBRIGHTPOWDERLONELYFIRE SPIN, QUICK ATTACK, SAND-ATTACK, DOUBLE TEAM2550002550
96, MUDKIPFOCUS BANDDOCILEWHIRLPOOL, ENDEAVOR, MUD SPORT, MUD-SLAP2550002550
97, SQUIRTLESITRUS BERRYDOCILEWATER PULSE, BITE, WITHDRAW, PROTECT2550002550
98, TOTODILESCOPE LENSDOCILESLASH, WATER PULSE, SCREECH, ICY WIND2550002550
99, SLOWPOKESITRUS BERRYBRAVECONFUSION, DISABLE, WATER PULSE, YAWN2550002550
100, BULBASAURBRIGHTPOWDERRELAXEDRAZOR LEAF, SWEET SCENT, SLEEP POWDER, LIGHT SCREEN2550002550
101, CHIKORITABRIGHTPOWDERRELAXEDSEC RET POWER, BULLET SEED, MUD-SLAP, LIGHT SCREEN2550002550
102, ODDISHPECHA BERRYRELAXEDACID, STUN SPORE, SWEET SCENT, MOONLIGHT2552550000
103, PSYDUCKPERSIM BERRYHASTYCONFUSION, FURY SWIPES, AERIAL ACE, DISABLE0255002550
104, CUBONESOFT SANDHARDYBONE CLUB, HEADBUTT, BRICK BREAK, AERIAL ACE2552550000
105, GOLDEENPETAYA BERRYDOCILEWATERFALL, FURY ATTACK, AGILITY, PSYBEAM2550002550
106, NATUTWISTEDSPOONRELAXEDNIGHT SHADE, FUTURE SIGHT, CONFUSE RAY, FLASH2550002550
107, CLEFAIRYLAX INCENSELONELYFOLLOW ME, RETURN, ENCORE, SING2552550000
108, MAGNEMITERAWST BERRYGENTLESHOCK WAVE, SUPERSONIC, METAL SOUND, REFLECT0002552550
109, SEELASPEAR BERRYHARDYAURORA BEAM, DIVE, BODY SLAM, FAKE OUT2550002550
110, GRIMERPECHA BERRYQUIRKYSLUDGE, ROCK TOMB, ACID ARMOR, MINIMIZE170017000170
111, KRABBYFOCUS BANDHARDYCRABHAMMER, MUD SHOT, FLAIL, KNOCK OFF2552550000
112, EXEGGCUTEPERSIM BERRYNAUGHTYCONFUSION, ANCIENTPOWER, LEECH SEED, LIGHT SCREEN2550002550
113, EEVEESALAC BERRYDOCILECHARM, ATTRACT, FLAIL, ENDURE2550025500
114, DROWZEESITRUS BERRYQUIRKYCONFUSION, HEADBUTT, DISABLE, BARRIER170170001700
115, VOLTORBLAX INCENSEDOCILESPARK, SCREECH, ROLLOUT, LIGHT SCREEN2550002550
116, CHINCHOULAX INCENSEHARDYSPARK, DIVE, CONFUSE RAY, TAKE DOWN0255002550
117, TEDDIURSACHESTO BERRYRELAXEDSECRET POWER, FAKE TEARS, FAINT ATTACK, REST2552550000
118, DELIBIRDNEVERMELTICEDOCILEPRESENT , ICE BALL, AERIAL ACE, HAIL2550002550
119, HOUNDOURCHARCOALDOCILECRUNCH, EMBER, ROAR, PROTECT2550002550
120, PHANPYLAX INCENSENAUGHTYROLLOUT, DEFENSE CURL, ROCK TOMB, SANDSTORM2552550000
121, SPOINKSITRUS BERRYRELAXEDPSYWAVE, BOUNCE, MAGIC COAT, CONFUSE RAY2550002550
122, ARONPERSIM BERRYDOCILEMETAL CLAW, AERIAL ACE, METAL SOUND, ROAR2552550000
123, LUVDISCQUICK CLAWRELAXEDSWEET KISS, ATTRACT, DIVE, RAIN DANCE2550002550
124, TENTACOOLPECHA BERRYHARDYBUBBLEBEAM, ACID, BARRIER, WRAP170170001700
125, CACNEASITRUS BERRYQUIRKYNEEDLE ARM, FAINT ATTACK, COTTON SPORE, SAND-ATTACK2552550000
126, UNOWNLAX INCENSEHARDYHIDDEN POWER170170001700
127, KOFFINGPOISON BARBQUIRKYSLUDGE, SMOKESCREEN, TORMENT, HAZE2552550000
128, STARYUSHELL BELLQUIRKYBUBBLEBEAM, MINIMIZE, SWIFT, LIGHT SCREEN2550002550
129, SKIPLOOMPERSIM BERRYDOCILEMEGA DRAIN, CONFUSION, COTTON SPORE, SYNTHESIS2550002550
130, NUZLEAFSITRUS BERRYHARDYEXTRASENSORY, FAKE OUT, RAZOR WIND, FAINT ATTACK2550002550
131, LOMBRELAX INCENSEQUIRKYWATER PULSE, FAKE OUT, BRICK BREAK, ABSORB2552550000
132, VIBRAVACHERI BERRYQUIRKYDRAGONBREATH, DIG, SCREECH, ROCK TOMB2552550000
133, RHYHORNFOCUS BANDHARDYROCK BLAST, DIG, SCARY FACE, ROAR2552550000
134, CLAMPERLDEEPSEASCALEDOCILEDIVE, TOXIC, IRON DEFENSE, DOUBLE TEAM170017000170
135, PIDGEOTTOWHITE HERBQUIRKYAERIAL ACE, QUICK ATTACK, FEATHERDANCE, SAND-ATTACK2552550000
136, GROWLITHERAWST BERRYDOCILEFLAME WHEEL, BITE, ROAR, AGILITY2550002550
137, FARFETCH'DSTICKRELAXEDSLASH, KNOCK OFF, SWORDS DANCE, AGILITY170017000170
138, OMANYTESITRUS BERRYQUIRKYMUD SHOT, WATER GUN, ANCIENTPOWER, TICKLE170170001700
139, KABUTOSITRUS BERRYHARDYMEGA DRAIN, ANCIENTPOWER, SAND-ATTACK, PROTECT0255002550
140, LILEEPLAX INCENSEDOCILEANCIENTPOWER, ACID, INGRAIN, CONFUSE RAY2552550000
141, ANORITHSCOPE LENSHARDYMETAL CLAW, FURY CUTTER, ANCIENTPOWER, WATER GUN2552550000
142, AIPOMSILK SCARFRELAXEDFURY SWIPES, SAND-ATTACK, BATON PASS, AGILITY2552550000
143, ELEKIDCHERI BERRYNAIVETHUNDERPUNCH, QUICK ATTACK, SWIFT, LIGHT SCREEN2550002550
144, LOUDREDFOCUS BANDRELAXEDSTOMP, HOWL, ASTONISH, SUPERSONIC2552550000
145, SPINDASITRUS BERRYRELAXEDDIZZY PUNCH, TEETER DANCE, PSYBEAM, FAINT ATTACK2552550000
146, NIDORINAFOCUS BANDQUIRKYDOUBLE KICK, BITE, AERIAL ACE, FLATTER2552550000
147, NIDORINOFOCUS BANDQUIRKYDOUBLE KICK, WATER PULSE, MUD-SLAP, FLATTER2552550000
148, FLAAFFYMAGNETMILDSHOCK WAVE, THUNDER WAVE, COTTON SPORE, LIGHT SCREEN2550002550
149, MAGBYLAX INCENSEDOCILEFIRE PUNCH, SMOKESCREEN, CONFUSE RAY, SMOG2550002550
150, NOSEPASSHARD STONESASSYROCK SLIDE, SHOCK WAVE, THUNDER WAVE, SANDSTORM2550000255
151, CORSOLASITRUS BERRYIMPISHBUBBLEBEAM, MIRROR COAT, ATTRACT, ANCIENTPOWER170017000170
152, MAWILEBRIGHTPOWDERDOCIL ECRUNCH, FAKE TEARS, IRON DEFENSE, BATON PASS2550002550
153, BUTTERFREEPECHA BERRYQUIRKYSILVER WIND, PSYBEAM, TOXIC, WHIRLWIND2550002550
154, BEEDRILLSCOPE LENSNAUGHTYTWINEEDLE, PURSUIT, ENDEAVOR, AGILITY0255025500
155, POLIWHIRLPETAYA BERRYQUIRKYWATER PULSE, DOUBLESLAP, ICY WIND, RAIN DANCE2550002550
